stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,34,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.13,1.41,0.28,0,0,0,0,0,0,0,1.13,0.85,0,0.28,0,0,0,8.17,7.05,0.28,0,0.28,0,0,3.38,0,0,0,0
21Day,0,0.37,0,1.85,0.74,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,1.85,0.37,0,0,0,0,0.74,1.11,0.37,0,0,0
3Month,0,0.21,0.21,15.81,0.83,0,0,0.42,0,3.85,0.83,0,1.66,4.68,1.25,1.66,0.73,0.1,0.21,0.83,2.81,0,0.1,0,0,0.52,15.29,0.21,0.42,0.52,126.59,0.62
22Month,0.14,0.55,0,5.19,0,0,0.14,0.55,0.41,6.83,0,0.27,0.82,0.55,0.55,0.27,0.68,0,0.14,0.27,0.82,0,0.27,0.41,0,0,6.29,0.14,0.14,0,0.27,0
