stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.74,0.37,0,0,0,0,0,0,0,4.07,0,0,0.37,0,0,0,0.37,0,0.37,0,0,0,0,0,9.25
3Month,0.1,0.83,0,0,0,0,0.1,0,0.94,0.21,0,0.42,0.31,0.73,0.21,0.21,0.1,0.1,0.1,0,0.21,1.87,0,0.1,0.52,14.87
22Month,0,0.41,0,0.14,0,0.14,0.27,0.14,1.64,0.14,0.14,0.14,0,0.27,0,0,0,0.14,0,0,0,0.27,0.14,0,0,10.93
