stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.85,0,0,0,27.06,0.56,0.28,0,0,0,0,0.56,0,0,0,0,0
21Day,0,0,0,1.11,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,21.83,0.74,0,0,0.37,0.37,0,0,0.37,0,0,0,0
3Month,0,0.1,0,3.02,0,0.1,0,0.21,0.52,0,3.95,0.83,0.21,0.83,0.1,0.52,0.73,0.21,0,0,0.21,3.54,0,2.5,0,0.21,0.21,0.62,0,0,0.1,0.1,2.6,0.52
22Month,0.14,0.14,0.14,0.55,0,0.14,0,0.27,0.41,0.68,13.12,0.55,0.27,0.96,0,0.27,0.41,1.23,0.14,0.41,0,1.23,0.14,2.6,0.14,0.14,0.14,0.27,0,0,0,0.14,0,0.14
