stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0.56,0,0,0,0,0.28,0,0,0,0,0,0.28,0.28,0.56,0,0.28,0,1.69,0.85,0.28,0,0,0,0,0,0,0,0,0
21Day,0,2.96,0.37,0.74,0,0.74,0,0,0,0,0,0,0.37,0.37,0,0.37,0,0,0,1.11,0.74,0,0.74,0,0,0,0.37,0.37,0,0,0
3Month,0.21,2.08,0,0,0,0.1,0.52,0.1,0,3.33,0.1,1.46,0.21,0.83,0.52,0.83,0.21,0,0.42,0.1,0,0.1,0,0.1,0.1,0.94,0,0,0.42,2.18,1.25
22Month,0,0.41,0,0,0.14,0,0,0.14,0.14,3.69,0.41,0.96,0,0,0.27,0.55,0,0,0,0,0,0,0,0,0,0.14,0.14,0,0,0,0.14
