stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,1.13,0,0.56,0,0,0,0,0,0,0,0,0,0.28,0.56,0,1.13,0,0,45.38,4.51,0,0.28,1.69,0,0,0,0,0
21Day,0.37,0,0.74,0.74,0,0,0,0,0,0,0.74,0,0,0.37,0,2.96,0,0,17.76,1.11,0.37,0,0,0.37,0,0.74,0,0.37
3Month,0,0.1,0.73,0,0,0.1,0.1,0,1.98,0.1,0,0.52,0,0.1,0.21,2.08,0.1,0,0.31,0,0.1,0,0,0,0.21,0,0.83,0.1
22Month,0,0,0.68,0,0.14,0.14,0.41,0.14,12.85,0.27,0,0.27,0,0.27,0.41,2.19,0,0.27,0.27,0,0,0.41,0,0,0.41,0.14,0,0.14
