stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0,0,0.56,0,0,0.85
21Day,0,0,0.37,0,0.37,0,0.74,0,1.85
22Month,0.14,0.14,3.42,0.14,0,0,0,0.14,0
