stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_cone_cell
24hpf,0,0,0,0,1,0,0,0,1,12,0,0
72hpf,0,0.28,0,0,0.28,0.56,0.28,0.28,1.41,1.69,0.28,0
21Day,0.37,0,0.74,0.37,0,0.37,0,0,1.48,0.74,0,0.37
