stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,4.79,0.28,0,0,0,0,0,0.85,0.85,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0,0.37,0,0,0.74,0,4.07,2.96,0,0
3Month,0.21,0.83,0.73,1.25,0.21,0,0.42,0.1,0.21,0.1,0.31,0.1,0,0,1.46,0.1,0.1,7.59,0,0,0,0.1,8.22
22Month,0.14,0,0,0.96,0,0.14,0.27,0,0,0,0,0,0,0,1.23,0,0,5.88,0.14,1.09,0,0,0
