stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,3,0,14,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,1,17,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,2.25,0,0,0,0,0,0,0,0,0.56,0,0.56,5.07,0,2.25,0,0,0,0.85,1.13,0,2.82,0,0,0.56,0,0,0
21Day,1.11,0,0,7.03,0.37,0,0.74,0,0.37,0,0.37,0,0.37,0,0,1.48,0,2.59,0,0,0,0.74,0,0,1.11,0,0,0,0,0,0
3Month,0.1,0.62,0.1,6.45,0,0.1,0.21,1.14,0.83,0,1.87,1.66,0.42,1.14,0.42,1.87,1.35,1.35,0.1,0.52,0.1,0.1,0,0.1,0.21,0.1,2.81,0.21,0.31,0.52,0.62
22Month,0,0.27,0.14,1.78,0,0,0,0.55,0.55,0.14,4.1,0.55,0.41,1.09,0.14,0.14,1.64,0.82,0,0.27,0,0,0,0.14,0,0.14,0,0.27,0,0,0.27
