stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,1,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0
72hpf,0.56,1.97,0.28,0.28,0,0,0.28,12.12,0.28,54.11,0,0,3.66,3.66,0.28,18.32,0,0,0,0,0
21Day,0.74,0.74,0,1.48,0.37,0.37,0.37,4.07,0,51.43,0.74,0,1.85,0,0,12.21,1.85,0.37,0.37,0.37,0
3Month,0,0.1,0,0,0.21,0.1,0,0.1,0.21,0,0,0.1,0,0,0,0,0,0,0,0,0.1
