stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,0,0,0
72hpf,0.28,0,0.28,0,0.28,0,0,0,0,0,0,0.28,0,0.56,0,0,1.97,1.97,0.28,0,0.28,0,0
21Day,1.11,0,0.37,0.37,0,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0.74,1.11,0,0,0,0,0
3Month,0,0,0.42,0,0,0.1,0.1,0.31,0.52,0,0.1,0.31,0.42,0.21,0.1,0.1,0.1,0,0,0.1,0,1.87,6.66
22Month,0.14,0,0,0,0,0.82,0,0.27,0,0.14,0.55,0,0.14,0,0,0,0.14,0,0.14,0,0,0.27,0.14
