stage,Cardiomyocyte,Epithelial_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cone_cell
24hpf,0,1,1,0,1,1,0,0
72hpf,0,0,0.28,0,2.82,0.56,0.28,0
21Day,0.37,0.37,0,0.37,1.11,0,0,0.37
