stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0
72hpf,0,0,0,1.69,0,0,0,0.28,0,1.13,0,0.56,0.85,0.28,0,1.13,0,0,0
21Day,0,0,0.74,0.74,0.74,0.37,0,0,0.74,0.74,0.37,0,2.22,2.22,0.37,0.37,0,0,0
3Month,0.1,0.1,0,0,0,0,0.1,0,0.31,0.1,0.1,0,0,0,0,0,0.31,0.1,0.1
