stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,0.56,0.56,0,0,0,0,0,0.28,0.56,0,1.13,0,0,7.89,12.12,0,0.28,1.97,0,0,14.94,0.28,0,0,0
21Day,0,0,1.85,0,0,0,0,0,0,0,0,0,0,1.85,0,0,2.59,1.48,0,0.37,0.37,0,0,1.48,0.74,0,0,0.37
3Month,0.1,0,2.81,0,0,0.1,1.56,0,0.1,0.21,0.21,0.31,0.21,0.52,0,0.21,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.62,0.21,0
22Month,0,0.27,0.68,0,0,0.27,3.55,0.14,0.14,0.41,0,0,0,0.41,0.14,0,0,0,0.27,0,0,0,0,0.14,0,0,0,0
