stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
72hpf,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0.28,0,0,0.28,0
21Day,0,0,0,0.37,0,0,0.74,0,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.1,0.31,0.1,1.35,0.52,0.73,0,0.1,0.1,5.2,0.94,0.21,0.1,0.31,0,0,0,3.85,0,0.73
22Month,0,0,0,0.68,0.96,0,0,0.27,0,0.68,0,0,0,0,0,0,0.14,4.78,0,0
