stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Muscle_cell
21Day,0,0.37,0.37,0,0,0
3Month,0.1,0.52,0,0.1,0.21,2.5
22Month,0,0,0,0,0,0.96
