stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.28,0,0,0.28,0,0,0,0.28,2.25,0
21Day,0,0.37,1.48,1.48,0,0.37,0,0.37,0,0.37,0.37,0.37,0.74,1.11,0.37,0,0.37,0.74,0,0.37,13.32,58.46,0
3Month,0,0,0.73,0,0.83,0,1.98,3.33,0,0,0,0.21,0,0,0,0.21,0,0,0.52,0,0,0,0.1
22Month,0.14,0,0.68,0,0.82,0,1.64,11.89,0,0,0.14,0.27,0.14,0,0,0.27,0,0.14,0.27,0,0,0,0.27
