stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,0,0,0,1,0,0,1,0,1,7,0,0,0,0,1,5,1,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0.56,1.69,0.28,0,0,0.28,0,1.13,1.13,0.28,0,0,0
21Day,0,0.74,0,0,0.37,0,0,0,0,0.37,0,0.37,2.22,1.11,0,0,0,1.11,1.48,0,0,0,0
3Month,0.21,0.21,0.1,0.1,2.08,0,0,0.1,0.62,0,0,0,1.46,0.31,0.1,0,0,0.1,0,0,0.1,0.21,0.1
22Month,0,0.14,0.14,0,1.5,0.27,0,1.5,0.14,0,0,0,1.09,0.27,0,0.14,0.14,0,0,0,0,0,0.14
