stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
72hpf,0.85,0,0,0,0,0,0,0,0,0,0,0,0.85,0.85,0,0,0,0,0
21Day,0.37,0.37,0,0,0,0,0,1.48,0,0,0,1.11,0,0.37,0.37,0,0.37,0,1.85
3Month,0.21,0,0,0.21,0,0.83,0.1,0.1,0.52,0.1,0.1,0.1,0,0,0,1.56,0,0.42,0.42
22Month,0.27,0,0.14,0,0.27,2.46,0,0.14,0.27,0,0.27,0.55,0,0,0,0.14,0,0,0
