stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,3,18,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.85,0,0.85,0,0,0,0,0,0,0,0,0.28,0,0.28,1.41,0.85,0.56,0,0,0,0,14.66,3.66,0,1.41,0,0,1.13,0,0,0.28,0,0,0
21Day,0.74,0,2.96,0,3.33,0,0.74,0,0,0.37,0,0,0,0,0,0.74,1.48,1.11,2.59,0,0,0.37,0,4.07,2.59,0.37,0,0.37,0,0.37,0,0.74,0.74,0,0,0.37
3Month,0,0.73,3.02,0.1,0,0.21,0.1,0.42,0.42,0.1,0,3.33,1.04,0.21,2.29,0.31,0.94,0.83,1.25,0.21,0,0.42,0.21,0.62,0,0.1,0.1,0.1,2.08,0,0,0,0.1,0.83,2.39,0.62
22Month,0,0.27,1.23,0,0,0.14,0.14,0,0.14,0.68,0,4.51,0,0,0.55,0,0.27,2.05,0.27,0,0.14,0,0,0,0,0.14,0,0,0.41,0,0.14,0,0,0,0,0.27
