stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0.28,0,0,0,0,0,1.97,1.13,0.28,0,0.28,0,0,0,0
21Day,0.37,0,0.37,0,0,0,0,0,0.37,0,0,0.37,0,2.22,0.74,0,0,0.37,0.37,0,0,0
3Month,0.1,0,0,0.1,0,2.18,0,0.1,0.21,0.31,0,0,0,0,0,0.1,0,0,0,0.1,0.21,0.1
22Month,0.14,0,0,0,0.14,1.78,0.14,0,0,0.55,0.14,0,0.14,0,0,0,3.28,0,0,0,0,0.14
