stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0.85,2.54,2.54,0.28,0.28,0.56,0
21Day,0.37,0.74,0.74,0.74,0,0.37,0.74,0,1.11,2.59,1.85,0,0,0,0.37
3Month,0,0.21,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0
