stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.85,0,0,0,0,0,0,0,0.28,0,0.56,0.56,0,1.13,0.85,0.28,1.97,0,0,0.28,0.28,0,0
21Day,0,0,0,1.11,0.37,0,0,0,0,0,0,0,0.37,0.37,0,0.37,0,0.74,0,1.48,0.37,0,0.74,0,0,0
3Month,0,0.1,0.1,1.14,0,0.21,0.1,17.47,0.1,0.62,0.1,0.52,0.21,0.21,0.1,0.1,0.1,0,0.1,0,0.31,0.1,0,0,0.1,0.1
22Month,0,0,0,0.14,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0
