stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0.28,0,0,0,2.54,1.13,0.28,0,0,0.56,0,0,0
21Day,0,0,0.37,0.74,0.74,0,0,0,0,0,0,0,0.74,0,0,0.37,0,0,0,0,0
3Month,0,0.1,0.31,0,0,0.94,0.1,0.42,0.1,0.21,0,0.21,0.21,0,0,0.1,0.62,0,0.1,1.14,0.1
22Month,0,0,0.27,0,0,1.09,0,0,0,0,0.14,0.14,0,0,0,0,0.14,0,0,0,0
