stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4,2,0,0,1,1,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37
3Month,0.21,0,0.1,0.1,0,0.1,0.62,0.21,0.21,1.25,2.08,0.52,0.21,0.1,0,0,0.31,0,0.21,0.1,0.1,0.21,1.56
22Month,0,0,0.14,0.82,1.91,0.68,0,0.14,0,1.37,0.41,0,0,0,0,0.14,0,0.14,0,0.14,0,0,0
