stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,1.13,0.28,0,0,0.56,0,0,2.25,0.28,0.28,0.28,0,0,0
21Day,0.37,1.11,0,0,0,0.74,0,0,2.22,0,0,0,0,0.37,0
3Month,0,0,0,0,0.31,0,0.1,0,0,0,0.1,0,0,0,0.1
22Month,0,0,0,0.14,0.55,0,0,0.14,0,0,0,0,0.14,0,0
