stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,1,21,0,0,1,0,0,0,0,1,0,0,0
72hpf,0.56,0,0,1.13,0.56,0,0,0,0,0,0,0,0,0,0.28,1.13,0,1.13,0,0,0,0.85,2.54,3.38,0,0,1.41,0,0,0.56,0,0,0,0,0
21Day,0.74,0.37,0,2.96,0.37,0,0.37,0,0,0,0,0,0,0,0,1.48,0.37,4.07,0,0,0.37,0,1.11,2.22,0,0.37,0.37,1.11,0,0.37,0.37,0.74,0,0,0
3Month,0,2.08,0.21,7.07,0,0.1,0.1,0.73,0.83,0,5.93,0.42,0.31,3.95,0.83,2.39,3.33,1.56,0.1,0,0.62,1.87,0,0,0.31,0.21,0.1,0.62,3.74,0,0,0.31,2.08,0.83,1.35
22Month,0,1.5,0.14,2.73,0,0.14,0,0.27,0.82,0.41,17.9,0.55,0.41,3.28,0,0.27,2.87,1.5,0,0.82,0.27,0,0.14,0,0.14,0.14,0.14,0,0,0.41,0,0.14,0.41,0.14,0
