stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,27,0,6,0,0,0,0,0,0,0,0,40,0,0,0,1,0,1,36,0,0,0,0,18,207,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,1.41,26.21,0,2.82,0.56,1.13,0,0,0,0,0,0,0,0,0,0,1.69,2.82,0.28,6.2,0,0,0,0,52.14,28.47,0.85,0.28,8.17,0,0,3.1,2.54,1.41,1.13,0,0,0
21Day,4.07,18.13,1.11,6.66,0.74,0.37,0,0.37,0,0.74,0.74,0,0,0.74,0,0,0,2.59,0.37,24.05,0,0.37,2.96,0,38.48,18.13,1.48,1.85,7.4,5.18,1.11,5.55,2.22,5.55,0,0,0,0.37
3Month,0,88,1.04,20.18,0.31,0,0.21,0.42,0.52,22.99,1.14,0.21,0,8.32,2.18,3.02,3.43,2.81,1.46,12.07,0.83,0,7.8,1.77,3.54,1.35,8.01,0.31,1.56,1.66,22.16,0.94,0.21,0,0.62,5.2,1.46,1.25
22Month,0,93.47,1.23,11.34,0.14,0,0,0.41,0.14,8.34,0.27,3.28,0,11.07,1.09,1.78,0.55,0.96,1.09,8.75,0,0.55,4.37,0,1.09,0.27,6.01,0.68,0.14,0.27,6.56,1.37,1.5,0,0,0.96,0,0.14
