stage,Cardiomyocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Retinal_cell
24hpf,0,1,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0.56,0
21Day,0.37,0.37,0,0.37,0,0.37,0,0.37
3Month,0,0.73,0.1,0,0.1,0,0,0
