stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0,0,3.1,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,1.48,0,0.37,0,0,0,0.74,0,0.37,0,0,0,15.91,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0
3Month,0,0.42,0.1,0,0.1,0.62,0,0.62,0.52,0.21,0.31,0.21,0.1,36.41,0.52,0.1,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0.1
22Month,0.14,0,0.27,0,0,1.91,0.14,1.23,0.14,0,0,0,0,99.62,0.27,0,0.14,0.14,0.27,0,0.14,0.14,0.14,0,0.55,0.14,0.14,0,0.14
