stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,46,9,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,15.22,1.97,5.36,2.54,11.84,0,0.56,0,0,0.28,0,0,0,0,3.1,17.47,1.97,13.25,0,1.13,0.28,0.85,1500.84,112.18,2.54,15.5,0,21.7,0.28,0,34.95,1.41,1.69,1.97,0,0
21Day,4.81,0,13.32,0,9.25,0,1.48,0,0,0.37,1.11,0.37,4.07,2.96,1.48,9.25,1.48,13.32,0.37,0,0.74,0,510.95,41.81,1.11,7.4,0,6.29,13.32,0.37,12.95,2.59,3.7,1.85,0,2.22
3Month,0,0,1.46,0.1,0,0.31,0,0.1,0.21,0.1,3.54,0.42,0.1,0.73,0.1,0.31,0.52,2.29,1.14,0.21,0.21,0.31,6.87,0.52,0.52,8.74,0,0.1,0.31,0.42,1.25,0,0,0.1,0.21,0.42
22Month,0,0.41,0.41,0.14,0,0,0,0,0,1.09,7.52,0,0.14,0.82,0,0.27,0.82,2.19,0.55,0,0.27,0,8.88,0.41,0.82,11.07,0.14,0,0.14,0,3.69,0.14,0,0,0,0.14
