stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.11,0,0,0.74,0,0,0,0,0,0,0,0,0,0.37,0,5.92,0,0,1.85,0,0,0.37,0,0,0.37,0,0,0,0.37,0,0,0,0
3Month,0.42,10.61,0,4.16,0,0,0.83,0.21,0.52,0.21,0,0.31,0.21,2.91,1.04,6.45,0.42,0.1,0.83,0.1,0,0.1,0.1,0,0,0.21,0.52,0,0,0,0.31,0.21,0.42
22Month,0.14,39.76,0.14,3.42,0.14,0.55,0.68,1.23,4.37,0.55,0.96,0.68,0.14,1.37,8.34,24.6,0.14,0.14,1.23,0,0,0,0,0.14,0.27,0.14,0,0.27,0,0.14,0.55,0,1.09
