stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0.28,36.92,0,0.85,1.13,2.54,0,0.56,0,0,0.56,0,0,0
21Day,19.61,0.37,0,0,0,0,0.37,45.51,2.59,1.85,0.74,0.37,0,0.37,0,0,0,0,1.11,0
3Month,1.25,0,0.21,0.21,0.1,0.1,0.1,0.31,0.1,0,0,0,0,0,0.1,0.21,0,0.1,0,0.52
22Month,0.27,0,0.14,1.78,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0
