stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.56,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0.37,0,0,1.48,0.37,1.85,0,0.37,0,0,0,0,0,0,0.74,0,0,1.48,2.96,1.48,0,0,0.74,0.37,0,0,1.11,0,0,0,0,0,0,0,17.76
3Month,0,0.1,0.1,2.08,0,0,0.42,0.1,0,0.1,0.52,0,1.35,1.46,0.21,0.62,0.31,0.31,0.73,0.52,0,0.1,0,0,0.1,0,0,0.62,1.04,0.1,0,0.1,0,0.42,41.19
22Month,0.14,4.51,0,5.47,0,0,0.27,0.96,0.14,0.41,20.22,0.14,1.37,6.83,1.91,0.68,0.14,3.01,15.44,11.34,0.14,0.68,0.27,0.27,1.5,0.55,0.55,0.14,2.05,0.27,0.14,0,0.55,0,7.38
