stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0.85,0,0.85,0,0,0,0,1.41,2.25,0,0,0,0.56,0,0,0.28,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.74,0,1.48,0,0,0,0,0.74,0.74,0,0,0,1.11,0.74,2.22,0,0,0.37,0,0.37,0
3Month,0.21,0.21,0.83,5.3,0.21,1.25,1.14,0,7.39,1.66,0.1,3.02,0.73,1.25,1.25,1.66,0.31,0,0.83,0.94,0.31,0.21,0.31,0.21,0,0.1,2.18,255.67,0.94,0.1,0,1.46,87.48,1.87
22Month,0.14,0,0,0.68,0,0,0.14,0.41,4.24,0.14,0,0.27,0,0,0.14,0.41,0,0.14,0.14,0,0.14,0,0.14,0,2.05,0,0,25.14,0,0,0,0,0.41,0
