stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Radial_glia
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.74,0,0,0
3Month,0.1,0.1,15.29,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.42,0
22Month,0.14,0.14,21.59,0,0,0.55,0,0,0.41,0.14,0.41,0.14,0.14,0.14,0.14,0,0.14
