stage,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell
24hpf,0,0,0,0,0,14,0,0,2,1,0,0,0
72hpf,0,0,0,0,0.28,2.82,0,0,0.56,0.28,0.85,0,0
21Day,0,0,0,0,0,6.66,0,0.37,0,0,2.96,0,0.37
3Month,0.1,0,0.21,0,0,0,0,0,0,0,0,0.1,0
22Month,0,0.14,2.05,0.41,0,0.14,0.14,0,0,0,0,0.14,0
