stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,3,12,3,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,1.41,0.85,0,1.97,0,0,0,0,0,0,0,0.56,0,0.56,6.48,1.13,0.28,0,0,1.97,0.56,0,0,0.56,0,0,0,0,0.28,0,0,0
21Day,0.37,0.37,1.48,0,2.96,0,1.85,0,0,0,0,1.48,3.7,0,0,0.74,0.74,1.48,0,0.37,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0.74
3Month,0,3.22,5.51,0.1,0,0.31,0.31,0.21,11.75,0,2.7,12.59,0.42,1.56,0.31,1.56,4.26,2.7,0.62,0.94,0.21,0,0.1,0,0.21,0.21,0.1,1.04,0,0.1,1.14,0.83,2.7
22Month,0,3.69,1.64,0,0,0.14,0.14,0,17.08,0.41,4.92,9.16,1.09,0.68,0,0.55,6.29,2.6,0.27,0.14,0,0.14,0,0.27,0.14,0,0,0.27,0.55,0,0,0,2.32
