stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,1,2,0,2,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0,0.28,0.28,0,0,0,0,0.28,0,0.56,0,17.76,16.07,0,0.56,0.56,0,0,1.69,0,0.28,0,0,0
21Day,0,0,0,0.37,0.37,0,0,0,0,0,0.74,0,1.48,0,18.87,4.07,0,1.85,0.74,0.37,0,2.96,0,0.37,0,0,0.74
3Month,0,0,0.52,0.21,0,0.1,0.83,0,0.21,0.31,0.83,0.62,2.39,0,0.21,0.21,0.1,2.29,0,0,1.35,6.87,0,0,0.21,0.94,0.31
22Month,0,0.14,0,0,0,0.27,1.37,0.14,0.68,0,0.41,0.41,1.23,0.27,0.14,0.14,0,1.09,0,0,0.14,9.84,0.14,0,0,0,0
