stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,4,0,0,0,3,41,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.85,0,0,0,3.38,3.95,0,0,0,0,0,0.28,0,0.28,0,0,0
21Day,0.37,0,0,4.44,1.11,0.37,0,0,0,0,0,0,0,0,0,0.74,0,1.85,0,0,0,1.48,1.11,0,0,0.74,0,0,0,0.37,0,0,0,0.74
3Month,0,0.42,0.31,4.47,0,0.1,0.1,1.25,0.73,0,4.37,0.62,0.31,4.26,0.1,1.87,0.31,0.73,0.42,0.52,0.62,0.73,0,0.52,0.1,0,0.21,6.55,0,0,0,0.52,2.91,1.14
22Month,0,0.68,0.41,1.09,0,0,0,0.14,0.14,0,3.69,0.82,0.27,3.14,0,0,0.27,0.68,0,0.14,0,0.14,0,0.14,0.14,0,0,0.68,0,0,0,0.14,0,0.14
