stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,26,4,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0.28,0,0,0,0,1.97,0,0,0,0,0,0.28,3.66,0.56,0.28,0,0,1.41,0,1.13,2.25,0,1.69,0,0,0.28,0.85,0,0,0,0
21Day,0,0.74,0,4.44,0.37,0,0.37,0,0,5.55,0,0,0.37,1.11,0,0.37,5.92,2.22,1.11,0,0,7.4,0,0.37,1.11,0,0.74,0.74,0,0.74,0.37,0.37,0,0,0.37
3Month,0,1.46,0.1,4.58,0,0,0,0.1,0.1,34.53,0,2.7,14.35,0,1.14,0.62,1.14,3.43,0.73,0.21,0.1,0.42,0.31,0,0,0.21,0,0.62,0.1,26.73,1.56,0,0.73,1.25,0.52
22Month,0,0.55,0,1.91,0.14,0.14,0,0,0,16.53,0.14,5.88,7.11,0,0.55,0,0,9.43,1.37,0.14,0.14,0.68,0,0.14,0.14,0.14,0,0.14,0,5.47,2.87,0,0.14,0,0.27
