stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.97,0.28,0,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0.56,0,0,0,0.85,0.85,0,1.13,0,0,0.28,0,0,0
21Day,0.74,0,0,6.29,0,0.37,0,0.37,0,0,0,0,0,0.74,0,0,1.85,1.11,0.74,0,0,0,0.37,0.37,0,0,0,0,0.37,0,0,0
3Month,0,0.42,0.1,3.22,0,0,0.1,5.1,0.94,0,0,4.16,1.56,0,1.46,0.21,0.42,1.35,0.1,0.1,0.1,0.1,0.21,0,0.21,0.1,0.21,0.31,0,0.31,1.98,0.73
22Month,0,0.27,0.14,1.23,0,0,0,1.23,1.37,1.09,0,8.47,0.27,0.27,0.55,0,0,0.55,0.41,0,0,0,0.14,0,0.14,0,0.14,0.14,0.14,0,0,0.41
