stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,1,0,2,0,2,0,0,0,0,0,1,4,7,0,0,1,15,1,4,0,0,0
72hpf,0.56,0,0.28,0.28,0,0,0,0,0,0,0,0.28,0.28,0,0,1.69,0.85,0,1.41,0,0,0
21Day,0,0,0,0,0,0.37,0,0,0.37,0,0,0.74,1.48,0,0,0.74,0,0,3.7,0,0,0
3Month,0.1,0,0.21,0,0,0.1,0,0.21,0,0.1,0,0.1,0.83,0.21,0.1,0,0,0,0,1.25,0.1,0.1
22Month,0.14,0.14,0,0,0,0.27,0.27,0.14,0,0,0,0.14,0.14,0,0,0,0,0,0,0.27,0,0
