stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0.56,0,0,0,0,0,0,0.28,0,1.69,0,0,0,0,2.25,3.38,0,0,0,0.28,0,0,0,3.38,0,0,0,0,0
21Day,0,0.37,0.74,0.74,0.74,0,0,0,0,8.88,0,0,2.59,0.37,0,0,0.37,1.48,1.48,0,0,0,0,1.48,0.37,0,0,0,0,0.37,0,0.74,1.85,0,0,0,0,0
3Month,1.04,4.89,2.39,26,0.1,3.02,0.31,0.1,6.24,1037.57,0,43.79,691.09,0.62,17.89,3.54,11.03,32.66,13.42,2.39,0.21,5.41,4.26,2.81,0.42,2.29,1.14,0,0.62,10.61,2.81,16.64,0.83,0.1,0.21,5.3,14.04,6.97
22Month,2.19,11.89,2.46,20.5,0,16.4,0.55,0,5.88,2389.59,3.42,108.36,376.33,4.51,15.17,1.64,3.96,534.44,20.77,0.55,8.34,4.37,0,3.01,0.27,3.28,3.96,2.19,1.78,5.88,0.27,3.55,4.24,3.42,0.55,1.23,0,11.48
