stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,4,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,1,9,7,29,0,0,0,0,6,88,0,2,0,0,0,0,0,0,0,0
72hpf,1.97,1.13,0,2.25,0.56,0.28,0,0,0,0,0,0,0,0,0,0.56,0,6.2,7.61,1.13,4.51,0,1.41,0,0,2.54,6.48,0,3.38,0.56,0,1.69,0,0.28,0,0,0
21Day,4.44,1.11,0,18.13,0,1.85,0,3.33,0,0.37,0.37,0,0,0.37,0.37,4.07,1.11,0,6.29,2.59,16.65,0,0,2.22,0,2.22,5.55,0,9.62,1.48,0,1.48,0,0,0,0,0.37
3Month,0,0.31,0.21,7.49,0,0,0.21,0.52,0.1,0.73,1.04,0,0,12.9,0.94,0.62,3.12,0.42,2.81,1.14,4.06,1.04,0.1,0.73,0.21,0.21,0,0.42,0.42,0.62,1.46,0,0,0,0.83,0.1,0.62
22Month,0,0.55,0.27,1.23,0,0,0,0.14,0,0.27,1.23,0.82,0,24.6,1.09,0.41,1.64,0.27,1.23,1.5,3.01,0.14,0.68,0.27,0,0.14,0,0.27,0,0,0.68,0.14,0.14,0,0,0,0.68
