stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.28,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0
3Month,0.21,0,0.1,0.1,0,0.83,0,0.1,0.62,0.62,0.31,0.42,0.31,0.42,0.1,0,0.1,0.83,0,0.1,0.21
22Month,0.14,0.14,0,0.14,0.14,5.19,0.14,0,0.41,0,0,0.14,0.41,0,0.14,0,0,0.96,0.14,0,0
