stage,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,6,0,0
72hpf,0,0,0,0,1.69,0,0.28
21Day,2.59,0,0.37,0.37,1.11,0.37,0
3Month,0.1,0.1,0.1,0,0,0,0
