stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,2.82,0,0,0.28,0,0,0,0,0,0.85,0,0.56,0,0.56,1.13,0,0,0,0,0.28,0
21Day,5.92,0,0,0.37,0.37,0,0.74,0,0,2.59,0,1.11,0,0.37,0,0,0.37,0.74,0,0,0
3Month,0,0.1,0.1,0.73,0,0,0.52,0.1,0.21,0.83,0,0,0.1,0,0.1,0,0,0,1.25,0,0.1
22Month,0,0,0.14,0,0,0.14,3.14,0,0.27,1.09,0.14,0,0,0,0,0.14,0,0,2.05,0,0
