stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,6,11,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,1.13,0.56,0.56,0,0,0,0,0,1.69,6.76,0,0.28,0,69.05,5.64,0,0.56,0.56,0,0,0.56,0.28,0.28,0
21Day,0,0,2.59,1.11,0.37,0,0,0,0,0,0.37,1.48,0,1.85,1.11,14.8,1.48,0,0,1.11,0.37,0.74,0,0,0,0
3Month,0,0,3.43,0,0,1.77,0.42,0.83,0.31,3.33,0.83,0.62,0.21,0.62,3.33,0.83,0.1,0,0,0,0,1.25,0.1,0,0,0.1
22Month,0,0.14,0.82,0.14,0,0.82,0,1.5,0,3.96,0.41,0.82,0,0,0.68,1.64,0,0.14,0.14,0,0,1.64,0,0,0,0
