stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,3.66,3.95,0,0.28,12.68,0,0,0,9.02,0.28,0,0,0,0
21Day,0.74,0,0,0.74,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0.37,0,2.96,1.48,0,0,8.14,0,0,0.37,1.11,0,0.74,0,0,0.37
3Month,0,0.31,0.62,3.33,0.21,0.83,0.21,0.52,1.25,0.73,161.85,1.56,3.85,0.62,1.04,0.83,1.98,0.31,0,0.52,0.42,0.73,0,0.21,0.1,0.42,2.91,0.1,58.15,0,0,0,0.52,33.29,0.83
22Month,0,0.14,0,0.55,0,0,0.14,0.14,0.14,0,1.5,0.14,0,0,0.14,0.27,0.27,0,0.14,0,0,0.68,0,0.14,0,0,0,0,11.89,0,0.27,0,0,0.27,0
