stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0,0,0,0,0,0,0,0,1.97,9.86,0,0,0,0.28,0,0,1.41,0.85,0,5.64,0,0,0,0.28,0,0
21Day,0.37,0.37,0,14.06,0.37,0,0.37,0,0.37,0,1.48,1.85,0.74,9.25,1.48,1.11,0,0,0,0,1.11,0.74,0,1.48,0.37,0,0.37,0,0,0.37
3Month,0,0,0.1,5.2,0,0.21,1.14,0.42,10.71,0.21,0.1,3.22,1.04,1.04,0.73,0.31,0,0,0.21,0.21,0,0,0.1,0.1,0.1,1.56,0,0,0.21,0.62
22Month,0,0,0.14,1.91,0,0,0.14,0.14,8.47,0,0,2.87,0.14,0.27,0.27,0.27,0.14,0,0,0,0,0,0,0,0,0.96,0,0,0,0
