stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0,0
21Day,0,5.18,0.37,0,0.37,0,0,0,0,0,2.22,0,0.37,0.37,0.37,0.74,0,1.48,0.37,0,0,0.37,0,0,0,0,0.37
3Month,0,2.7,2.29,0.1,0,2.6,0.1,0,1.35,0.42,22.99,0,0.1,0.42,0.52,13.52,0.21,0,0,0.42,0.1,0,0.1,0.31,0.1,0.42,0.21
22Month,0.14,1.78,1.23,0,0,2.19,0.27,0.55,2.87,0.14,35.26,0,0,0.41,0,4.1,0,0,0,0.27,0,0,0,0.27,0,0,0
