stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,2.25,0,0,0,0,0,0,0.28,0,0,0
21Day,0,0,0.37,0,0,0,0,0,3.33,1.11,0,0,0,0,0.37,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0,0.74
3Month,0.1,0,0.52,0.1,0,0.62,2.7,2.08,90.39,0.21,0.73,0.31,0.21,2.08,0.52,0,0,0.31,0.21,0.21,0,0.1,0.1,0.1,0.21,0.73,0.73,0.1,0.21,0.31,4.16
22Month,0.14,0.14,0.27,0,0.14,0,0.27,4.24,25.83,0.82,0,0.14,0.27,0.96,0.41,0.14,0.14,0,0,0,0,0,0,0,0,0,0.14,0,0,0,3.28
