stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0.56,0,0,0,0,0,0,0,0.56,0.56,0,0.85,0,0.56,0,0,74.69,1.13,0,0,1.69,0,0,0.56,39.18,40.3,0.56,0,0,0
21Day,0.37,0,0,2.22,0.37,2.22,0,0.37,0,0.37,0,0.74,0.37,0,0.74,0.37,2.96,0,0,0.37,0,56.98,1.11,0,0.37,1.85,1.85,0,1.11,45.14,122.1,0,0,0,0.37
3Month,0,0.1,0.31,2.08,0.1,0,0.1,0.62,0,3.74,1.04,0.21,1.04,0,0.42,0.52,0.62,0.1,0,0.31,0.31,1.77,0,0.42,0.1,0,0.83,58.98,0.42,1.25,0.21,0.21,0.52,62.51,0.62
22Month,0,0.27,0,0,0.41,0,0.27,1.5,0.27,5.33,0.82,0.14,1.09,0.27,0.14,0.27,0.27,0,0,0,0,1.78,0,0.27,0.14,0,0.14,16.67,1.5,28.29,0,0,0,0.14,0
