stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,T_cell
21Day,1.48,0.37,0,0,0,0,0,0,0.37,0,0,0.37,0,0
3Month,7.18,0,0.21,0.1,0.21,0.62,0.21,0.1,0.52,1.66,0.1,0,0.21,0.42
22Month,0.41,0,0,0,1.5,0,0.14,0.14,0,0.14,0,0,0,0
