stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,1.13,0.85,0,0,0,0,0,0.28,0.28,0,1.69,0,0.28,45.94,2.25,0.56,0.28,1.97,0,0,0.85,0.28,0,0.28,0
21Day,0.74,0,1.48,0.37,0,0,0,0.37,0.74,0,1.11,0.37,1.48,0,0,27.01,1.48,0,0,0.37,1.11,0,1.85,0,0.37,0.37,0
3Month,0.1,0.31,0.62,0,0.31,0,1.04,0,0.62,0,0.52,0.1,0.21,0.1,0,0.21,0.1,0.21,0,0,0,0.21,0,0,0,0,0.31
22Month,0,0.55,0.14,0,0,0.55,6.97,0,1.09,0,0.41,0,0.96,0,0,0.27,0,0.41,0.14,0.14,0,0.14,0,0,0,0,0
