stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,2,1,1,0,0,3,8,0,0,0
72hpf,0.28,0,0,0,0,0.56,0,0.28,0,0,1.13,1.97,0,0,0
21Day,0.74,0.37,0,0,0,0,0.37,0.37,0.37,0,0.74,0.37,0,0,0
3Month,0.31,0,0.1,0.1,0.1,0.1,0,0.42,0,0.1,0,0,0.21,0,0.1
22Month,0,0,0.27,0.82,0,0.14,0,0.14,0,0,0,0,0.14,0.14,0
