stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,2,4,0,0,0,1,1,3,18,0,2,40,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0.85,1.97,0,1.97,0.56,4.51,5.92,0,2.25,0,0,1.69,0.28
21Day,0.37,1.85,0.37,0,0.37,0,0.37,0.74,2.22,0,0.74,1.85,0,0.74,0,0,0.37,0.37
3Month,0,0.31,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.31,0,0
22Month,0,0.14,0,0.41,0,0,0.14,0,0.27,0,0,0,0.14,0,0,0.27,0,0
