stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,11,0,1,0,0,0,0,0,0,0,0
72hpf,3.1,1.13,3.1,1.13,1.41,0,0,0,0,0.28,0,0,0,0.28,3.95,0.28,45.94,0,0.85,0.85,91.32,95.26,2.54,55.24,0,0,17.19,0,0,3.1,0,0
21Day,2.96,0.37,4.44,0.37,1.48,0,0.37,0,0,0,0,0.74,0.37,0.37,1.48,0,50.69,0.37,0,1.11,29.23,33.67,1.11,38.11,1.11,0,1.11,0,0.37,0,0,0
3Month,0,0.52,0.31,0,0,0,0.1,0.73,0,1.35,0.1,0,0.42,0,0.1,0,4.78,3.02,0,0.1,0,0.1,0.21,0,0.21,0.21,0,0,0,0,1.56,0.31
22Month,0,0.82,0.27,0,0,0.14,0.14,0.41,0.14,3.69,0.27,0,0.27,0,0.27,0,6.83,0.27,0,0,0.55,0,0.14,0,0,0,1.64,0.14,0,0.14,0,0
