stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,6,7,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.85,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.85,0,0.28,0,0,0,15.22,2.54,8.17,0.28,0,1.41,0,0,1.13,0,0,0,0,0
21Day,0,0.37,0,3.7,0,0.37,0,0,0,0,0,0.37,0.37,0.74,0.37,0,1.11,0,1.48,0,0,0,11.47,1.85,2.22,0,0,1.11,0,0.37,0,0,0.74,0,0,0.74
3Month,0,0.1,0.21,5.51,0,0,0.1,0,0.73,1.04,0,3.43,1.66,0,1.98,0.62,1.25,1.14,1.25,0.31,0,0.21,0,0,7.18,0.1,0,0.21,0.31,1.04,0,0,0,0.21,0.21,0.62
22Month,0.55,1.37,0.14,21.86,0.14,0,0.96,0.14,0.27,4.1,0.14,12.85,1.78,0.68,0.82,0.14,0.68,2.73,3.14,0.27,0.41,0.14,0,0.14,13.12,0,0.14,0.14,0.14,0.68,0.27,0.41,0,0,0,0.82
