stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1.41,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.11,0,0.37,0,0,0.37,0,0,2.59,1.48,0,0,1.85,11.47,0.74,0,0,0.74,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0,0,2.96
3Month,0.21,0.21,0.31,4.78,0.21,0,0.1,0.52,10.4,0,4.58,134.39,0.42,1.66,0.21,3.12,52.01,18.41,0.73,0.1,0.42,0.62,0.21,0.21,0.31,0,0,0.21,0.52,0.1,0.52,0.1,0.1,0.21,0.83,12.38
22Month,0,0.41,0.27,1.78,0,0,0.82,0.14,13.12,0.68,37.72,59.58,2.32,0.68,0.14,2.73,58.9,50.83,0,0.96,1.64,0,0,0,0,0.27,0.14,0,0,0,0,0.14,0,0.27,0,13.53
