stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.56,0,0,0.56,0,0,0,0.28,0
21Day,0.74,0,0,0.37,0,0,0,0,0,0.37,0,1.11,0,0,0,0,1.11
3Month,0,0.42,0,0.1,0.1,0,0.42,0.21,0.21,0,0,0.1,0,0,0,0,0
22Month,0,0.27,0.14,0,0.14,0.27,4.24,0.14,0,0.14,0.55,0,0,0.14,0.14,0.14,0
