stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,5,20,0,0,0,0,107,0,7,0,0,0,0,0,0,0
72hpf,0.85,0,0,7.61,1.69,0,0,0,0,0,5.36,1.13,0,3.95,0,0.28,0,3.66,14.37,0,51.86,0,0,1.13,0,0,0,0
21Day,1.11,0,0,2.96,0.37,0,0,0,0,0.37,0.37,1.11,0,12.95,0,2.22,0,0.37,2.96,0,2.22,1.11,0,0,0.37,0,0,0
3Month,0,0.31,0,1.04,0,0.1,0.31,0.94,0.52,0.42,0.21,0.1,0.1,0.83,0,2.08,0.1,0,0,0.1,0.1,0,0.21,0.1,0,0.1,0.1,0.31
22Month,0,0.82,0.14,0.27,0,0.14,0.55,7.38,0.14,0.41,0,0,0.27,0.14,0.14,0.96,0,0.14,0,0.41,0,0,0,0,0,0,0,0
