stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Neural_cell
72hpf,0,0,0.56,0,0,0
21Day,5.18,0,1.11,1.11,0.74,0
3Month,0.42,0.21,0.42,0.1,0.62,0.1
22Month,0,0.14,0,0,0,0
